linha,cluster_order,latitude,longitude,cluster_count
100,1,-22.98314,-43.19232,34
100,2,-22.9497,-43.17788,21
100,3,-22.96391,-43.17844,20
108,1,-22.98162,-43.21336,1000
108,2,-22.91424,-43.19639,43
108,3,-22.98496,-43.21293,30
232,1,-22.90792,-43.27829,156
232,2,-22.90522,-43.29103,32
232,3,-22.91145,-43.2856,12
2336,1,-22.90578,-43.17365,6136
2336,2,-22.89186,-43.21603,3947
2336,3,-22.89488,-43.21541,513
2803,1,-22.9761,-43.58971,44
2803,2,-22.9696,-43.5886,20
2803,3,-22.89563,-43.56177,12
292,1,-22.8306,-43.32671,70
292,2,-22.88253,-43.21815,50
292,3,-22.82376,-43.30951,20
298,1,-22.76297,-43.42916,147
298,2,-22.88728,-43.25027,135
298,3,-22.88101,-43.27406,10
3,1,-22.89736,-43.48696,60
3,2,-22.86142,-43.54884,20
3,3,-22.9009,-43.55199,10
309,1,-22.91849,-43.17659,163
309,2,-22.90561,-43.19691,92
309,3,-22.90593,-43.19623,47
315,1,-23.00059,-43.41747,328
315,2,-22.97025,-43.36088,200
315,3,-22.90911,-43.3153,86
324,1,-22.90666,-43.19662,34
324,2,-22.90325,-43.18452,30
328,1,-22.84827,-43.24519,326
328,2,-22.89962,-43.19026,89
328,3,-22.90395,-43.18487,20
343,1,-22.90913,-43.3152,55
343,2,-22.97642,-43.32557,44
343,3,-22.98885,-43.3232,22
355,1,-22.9033,-43.18503,407
355,2,-22.90351,-43.18556,51
355,3,-22.85216,-43.31184,31
371,1,-22.9084,-43.18937,474
371,2,-22.88445,-43.31717,40
388,1,-22.92044,-43.6801,111
388,2,-22.85756,-43.47263,80
388,3,-22.86547,-43.4217,73
397,1,-22.82363,-43.33098,120
397,2,-22.82157,-43.3246,92
397,3,-22.86543,-43.42551,32
399,1,-22.81762,-43.30702,66
399,2,-22.7411,-43.45641,42
399,3,-22.81588,-43.39476,27
415,1,-22.98555,-43.22348,508
415,2,-22.941,-43.25138,31
415,3,-22.94005,-43.24926,11
422,1,-22.93992,-43.19983,1896
422,2,-22.93124,-43.17943,250
422,3,-22.91109,-43.21664,82
457,1,-22.92064,-43.19372,43
457,2,-22.90851,-43.19804,33
457,3,-22.97827,-43.19076,11
483,1,-22.92673,-43.17199,169
483,2,-22.9717,-43.18969,141
483,3,-22.88415,-43.23653,101
497,1,-22.86309,-43.25285,130
497,2,-22.83677,-43.28173,33
497,3,-22.88457,-43.22693,23
550,1,-22.95267,-43.35209,176
550,2,-22.98689,-43.30668,158
550,3,-22.99538,-43.25815,55
553,1,-22.90783,-43.17254,30
553,2,-22.95847,-43.17732,20
553,3,-22.95379,-43.18137,11
554,1,-22.97387,-43.41129,99
554,2,-22.97405,-43.41158,22
554,3,-22.96408,-43.3943,11
557,1,-22.99637,-43.26061,107
557,2,-22.98748,-43.22401,55
557,3,-22.97461,-43.32744,44
565,1,-22.95263,-43.35395,99
565,2,-22.92868,-43.35613,97
565,3,-22.95743,-43.37993,66
606,1,-22.91128,-43.27557,33
606,2,-22.90434,-43.28586,13
606,3,-22.8981,-43.28264,12
624,1,-22.85649,-43.38487,20
624,2,-22.89576,-43.24008,10
624,3,-22.89898,-43.23672,10
629,1,-22.75362,-43.29507,150
629,2,-22.91757,-43.23483,73
634,1,-22.81696,-43.18566,28
638,1,-22.87193,-43.34523,302
638,2,-22.8618,-43.36834,24
638,3,-22.852,-43.37202,22
639,1,-22.8086,-43.32145,203
639,2,-22.8778,-43.32684,100
639,3,-22.87216,-43.33612,91
665,1,-22.81715,-43.30599,171
665,2,-22.79913,-43.30769,70
665,3,-22.82601,-43.34885,40
756,1,-22.91416,-43.68103,279
756,2,-22.90439,-43.61584,176
756,3,-22.84027,-43.33859,147
759,1,-22.85524,-43.48249,90
759,2,-22.88753,-43.65652,31
774,1,-22.77659,-43.28654,60
774,2,-22.75386,-43.29518,50
774,3,-22.80963,-43.30886,20
779,1,-22.87688,-43.33794,2301
779,2,-22.87786,-43.33722,40
803,1,-22.88503,-43.39273,11
803,2,-22.87851,-43.42345,11
803,3,-22.89919,-43.39177,11
838,1,-22.90776,-43.56361,109
838,2,-22.90504,-43.56406,73
838,3,-22.9043,-43.564,50
852,1,-22.97544,-43.5896,130
852,2,-22.96942,-43.58865,111
852,3,-22.90754,-43.56437,20
864,1,-22.87722,-43.47306,10
867,1,-22.97533,-43.58958,180
867,2,-22.97641,-43.58983,102
867,3,-22.97576,-43.58964,90
878,1,-23.01246,-43.31862,1401
878,2,-22.95313,-43.33818,44
878,3,-22.88146,-43.32531,33
905,1,-22.83066,-43.27803,166
905,2,-22.83152,-43.29134,120
905,3,-22.84231,-43.26942,20
917,1,-22.88653,-43.28006,10
917,2,-22.88654,-43.30307,10
917,3,-22.88768,-43.28417,10
918,1,-22.8698,-43.25853,51
918,2,-22.89677,-43.48756,20
918,3,-22.87162,-43.2584,18
